id,files_name,exp_times_sec,date_fit,main_poly,extra_poly,opt_dens_min
C0001,"Calibrovka_10-11.11.1975_30s_XIV-6-4.fit,Calibrovka_10-11.11.1975_1m_XIV-6-5.fit,Calibrovka_10-11.11.1975_5s_XIV-6-1.fit,Calibrovka_10-11.11.1975_20s_XIV-6-3.fit,Calibrovka_10-11.11.1975_10s_XIV-6-2.fit","5.0,10.0,20.0,30.0",1975-11-10T18:00:00,"-2.3081399559318565e-26,2.6616763970910765e-22,-1.2931450408753845e-18,3.4862857307620464e-15,-5.755427326086456e-12,6.034831770121892e-09,-4.0168485632044385e-06,0.001636010369454632,-0.3719715517286091,39.39202407692173,-1078.9839991243978","1.687538997430238e-14,-1.1379786002407855e-15,0.006728710929168095,-0.00032587626551598643,9.118731425373921e-06,-1.7866377754463089e-07,2.64343179708289e-09,-3.071372156587948e-11,2.867666101942971e-13,-2.18178576116983e-15,1.3634233578616358e-17,-7.021707542864347e-20,2.978294563530967e-22,-1.0355887978143577e-24,2.9248995306995386e-27,-6.610402187527874e-30,1.1679741945241636e-32,-1.5555376425692885e-35,1.4697012339296818e-38,-8.787491128631514e-42,2.501966242009835e-45",371.6649831
C0002,"Calibrovka_01-02.01.1976_40s_XIV-3-2.fit,Calibrovka_01-02.01.1976_5s_XIV-3-4.fit,Calibrovka_01-02.01.1976_3s_XIV-3-3.fit,Calibrovka_01-02.01.1976_20s_XIV-3-6.fit,Calibrovka_01-02.01.1976_10s_XIV-3-5.fit","3.0,5.0,10.0,20.0,40.0",1976-01-01T18:00:00,"7.648251376715924e-17,-5.857171375411743e-13,1.87401967447671e-09,-3.231518602208748e-06,0.003227667169985176,-1.8582552055628987,571.2123336255364,-71896.34821060578","1.6653345369377348e-15,-1.1709383462843448e-16,0.0009096477283703414,-4.099049891481358e-05,1.067220118317009e-06,-1.9455625436960642e-08,2.6783411845774496e-10,-2.8954717898253055e-12,2.5153856743342024e-14,-1.780644444345677e-16,1.0353446442077916e-18,-4.961192215989359e-21,1.95794311910224e-23,-6.334449400698345e-26,1.6646448274334757e-28,-3.5004801693737265e-31,5.754692087330801e-34,-7.1311319766601375e-37,6.268968868403157e-40,-3.4875549518010886e-43,9.239037093550025e-47",399.4501054
C0003,"Calibrovka_01-02.02.1976_5s_XVI-3-Cal-2.fit,Calibrovka_01-02.02.1976_2.5s_XVI-3-Cal-1.fit,Calibrovka_01-02.02.1976_15s_XVI-3-Cal-2.fit,Calibrovka_01-02.02.1976_20s_XVI-3-Cal-2.fit,Calibrovka_01-02.02.1976_30s_XVI-3-Cal-2.fit,Calibrovka_01-02.02.1976_40s_XVI-3-Cal-2.fit,Calibrovka_01-02.02.1976_10s_XVI-3-Cal-1.fit","2.5,5.0,10.0,15.0,20.0,30.0,40.0",1976-02-01T18:00:00,"4.870454022050494e-17,-3.828814942235634e-13,1.2475128478527343e-09,-2.1739027878518163e-06,0.002178958901071534,-1.2517256084939252,381.63677561778684,-47507.12879157546","-3.9968028886505635e-15,3.157196726277789e-16,-0.0014402148538792464,6.463025794483006e-05,-1.6757349471522825e-06,3.042251810735727e-08,-4.1707532758957104e-10,4.490209212247225e-12,-3.8846371588218485e-14,2.738556619623959e-16,-1.5857258099947128e-18,7.567071643710588e-21,-2.973996830916417e-23,9.58181850524185e-26,-2.5076059580440567e-28,5.2512653918836945e-31,-8.597200896694691e-34,1.0609431099414826e-36,-9.288131901344764e-40,5.145788816887024e-43,-1.3575512958878013e-46",401.1103807
C0004,"Calibrovka_01-02.05.1975_10s_XIV-1-5.fit,Calibrovka_01-02.05.1975_2m_XIV-1-1.fit,Calibrovka_01-02.05.1975_20s_XIV-1-4.fit,Calibrovka_01-02.05.1975_30s_XIV-1-3.fit,Calibrovka_01-02.05.1975_1m_XIV-1-2.fit","10.0,20.0,30.0,60.0,120.0",1975-05-01T18:00:00,"1.4005641122475026e-26,-3.401868057959553e-22,1.8743571402855233e-18,-4.731395896520231e-15,6.501257329554912e-12,-5.082379006047672e-09,2.1724936246536372e-06,-0.000401870415165323,-0.021056179293781892,20.430528846830008,-1209.403713840053","1.4210854715202004e-14,-6.827871601444713e-15,0.24044776802021325,-0.04841037331981167,0.005631407405789099,-0.0004586863933571021,2.8212675703567494e-05,-1.3627162412789034e-06,5.2893023587133275e-08,-1.6729337251598951e-09,4.346044663672231e-11,-9.304713689270986e-13,1.6406832639996992e-14,-2.371599036591915e-16,2.7845928018502317e-18,-2.6162271535488166e-20,1.9216647993334073e-22,-1.0639512632143372e-24,4.178949185098331e-27,-1.0387230118745169e-29,1.2294563692448806e-32",89.40356224
C0005,"Calibrovka_01-02.09.1973_1m_VA-4-Cal.fit,Calibrovka_01-02.09.1973_40s_VA-4-Cal.fit,Calibrovka_01-02.09.1973_2m_VA-4-Cal.fit,Calibrovka_01-02.09.1973_30s_VA-4-Cal.fit,Calibrovka_01-02.09.1973_15s_VA-4-Cal.fit,Calibrovka_01-02.09.1973_4m_VA-4-Cal.fit","15.0,30.0,40.0,60.0",1973-09-01T18:00:00,"3.143443469249736e-17,-2.9330934907964905e-13,1.1462685988035213e-09,-2.424593457192528e-06,0.002990311226665771,-2.1448776500989437,827.5269191607555,-132220.7745407916","2.398081733190338e-14,-1.1102230246251565e-15,0.003323999193354249,-9.873308927247885e-05,1.6944368054280725e-06,-2.0361436790970397e-08,1.8476553951845984e-10,-1.3166376329603997e-12,7.539514148442316e-15,-3.518097226819123e-17,1.348364844930855e-19,-4.258928846687006e-22,1.1079145165043717e-24,-2.3626908776575704e-27,4.092714686197286e-30,-5.672955241705788e-33,6.147459519842492e-36,-5.021389519527619e-39,2.909734758859496e-42,-1.0670142005861249e-45,1.86323529315959e-49",605.9972996
C0006,"Calibrovka_02-03.04.1976_1m_XX-1-Cal.fit,Calibrovka_02-03.04.1976_10s_XX-1-Cal.fit,Calibrovka_02-03.04.1976_5s_XX-1-Cal.fit,Calibrovka_02-03.04.1976_40s_XX-1-Cal.fit,Calibrovka_02-03.04.1976_20s_XX-1-Cal.fit,Calibrovka_02-03.04.1976_2.5s_XX-1-Cal.fit","2.5,5.0,10.0,20.0,40.0,60.0",1976-04-02T18:00:00,"2.1410297828198436e-11,-1.2682816815854167e-07,0.0002896638685678308,-0.31609331398298396,165.52588513121444,-32910.123885444526","-2.4868995751603507e-14,1.0408340855860843e-15,-0.004973916839575079,0.00017761909466996862,-3.6647269212662398e-06,5.2943662177439366e-08,-5.775849238882592e-10,4.948236568603875e-12,-3.406566465211082e-14,1.9110438832544594e-16,-8.80561228285893e-19,3.3438118984390815e-21,-1.0457720325746016e-23,2.6811862955879466e-26,-5.583684517600618e-29,9.304822128724605e-32,-1.2122263281176735e-34,1.190422871387277e-37,-8.293160463253761e-41,3.656168325577818e-44,-7.675611776824996e-48",504.0589993
C0007,"Calibrovka_02-03.08.1992_2s_I-2-cal-1.fit,Calibrovka_02-03.08.1992_4s_I-2-cal-1.fit,Calibrovka_02-03.08.1992_1s_I-2-cal-1.fit,Calibrovka_02-03.08.1992_30s_I-2-cal-1.fit,Calibrovka_02-03.08.1992_8s_I-2-cal-1.fit,Calibrovka_02-03.08.1992_2m_I-2-cal-1.fit,Calibrovka_02-03.08.1992_1m_I-2-cal-1.fit,Calibrovka_02-03.08.1992_15s_I-2-cal-1.fit","1.0,2.0,4.0,8.0,15.0,30.0",1992-08-02T18:00:00,"-2.0712817335333926e-23,2.229554945752124e-19,-1.0228512647703807e-15,2.6150000956548284e-12,-4.087433966948168e-09,4.0285384487963645e-06,-0.0024832483800802767,0.9093308915416037,-170.69746840903858,11094.385012417519","7.105427357601002e-15,-2.1337098754514727e-16,0.0022204850368114817,-9.20559441799413e-05,2.2050409375297664e-06,-3.698297725969109e-08,4.683996847703109e-10,-4.658692585036072e-12,3.723431078386497e-14,-2.4249900777906307e-16,1.2972142743492672e-18,-5.718825592958934e-21,2.0764185019210894e-23,-6.180416044890176e-26,1.4942540662504876e-28,-2.8908429806991345e-31,4.372330609670577e-34,-4.984750172156734e-37,4.031577909512907e-40,-2.0634503514375323e-43,5.029139657465615e-47",434.1787053
C0008,"Calibrovka_03-04.01.1976_15s_XIII-3-2.fit,Calibrovka_03-04.01.1976_40s_XIII-3-1.fit,Calibrovka_03-04.01.1976_5s_XIII-3-3.fit","5.0,15.0,40.0",1976-01-03T18:00:00,"2.5411163792992316e-14,-1.5076142980559373e-10,3.5488648328668065e-07,-0.0004170794807938236,0.25418875467423774,-73.40593572527192,7983.369720311333","2.042810365310288e-14,-1.4502288259166107e-15,0.007300190147502475,-0.0003751679305241427,1.1139817531373825e-05,-2.3160655165282606e-07,3.636244804257653e-09,-4.4832000925104676e-11,4.4417584584355077e-13,-3.5859904959178046e-15,2.3779265545989197e-17,-1.2995144691436812e-19,5.848933813324334e-22,-2.1580777034481155e-24,6.467871192289879e-27,-1.551132754392272e-29,2.9082049439178535e-32,-4.110010786922762e-35,4.120616252110232e-38,-2.6143798499012894e-41,7.898705276089976e-45",350.252279
C000A,"Calibrovka_03-04.12.1992_4m_I-4-cal-4.fit,Calibrovka_03-04.12.1992_30s_I-4-cal-4.fit,Calibrovka_03-04.12.1992_2m_I-4-cal-4.fit,Calibrovka_03-04.12.1992_1m_I-4-cal-4.fit,Calibrovka_03-04.12.1992_9m_I-4-cal-4.fit,Calibrovka_03-04.12.1992_4s_I-4-cal-4.fit,Calibrovka_03-04.12.1992_2s_I-4-cal-4.fit,Calibrovka_03-04.12.1992_15s_I-4-cal-4.fit,Calibrovka_03-04.12.1992_8s_I-4-cal-4.fit","4.0,8.0,15.0,30.0,60.0",1992-12-03T18:00:00,"-1.193600869740421e-11,7.403226051422748e-08,-0.00017113753010609002,0.18766741326576805,-95.30133359461047,18022.780495058047","3.552713678800501e-15,-6.938893903907228e-17,0.002629724419921306,-7.547244908594807e-05,1.2514902805860332e-06,-1.4530712593237602e-08,1.2740188522303828e-10,-8.771977959819474e-13,4.853455094200411e-15,-2.1882245208364364e-17,8.103410714800403e-20,-2.473074517220614e-22,6.216120982272202e-25,-1.280844765394008e-27,2.143766355333255e-30,-2.8711225194221638e-33,3.0061762107240822e-36,-2.3725701136228788e-39,1.3283879680642766e-42,-4.706717345639712e-46,7.94130741790217e-50",627.1830334
C000C,"Calibrovka_04-05.05.1992_1m_I-1-cal.fit,Calibrovka_04-05.05.1992_8s_I-1-cal.fit,Calibrovka_04-05.05.1992_2s_I-1-cal.fit,Calibrovka_04-05.05.1992_4s_I-1-cal.fit,Calibrovka_04-05.05.1992_1s_I-1-cal.fit,Calibrovka_04-05.05.1992_30s_I-1-cal.fit,Calibrovka_04-05.05.1992_4m_I-1-cal.fit,Calibrovka_04-05.05.1992_2m_I-1-cal.fit,Calibrovka_04-05.05.1992_15s_I-1-cal.fit","1.0,2.0,4.0",1992-05-04T18:00:00,"1.7326854915000406e-17,-1.5437141961732135e-13,5.677848926352974e-10,-1.1121084616998e-06,0.0012474408385330126,-0.7987600970819794,271.4803740507266,-37379.99586730044","-7.993605777301127e-15,2.42861286636753e-16,0.006574855675515117,-0.00028204008312834514,6.990307461024744e-06,-1.213115400075715e-07,1.5897815911277443e-09,-1.6360838105067507e-11,1.3530238038768938e-13,-9.11785555809284e-16,5.046788271163306e-18,-2.3021352901554767e-20,8.648872689697157e-23,-2.663685519890815e-25,6.663621319163424e-28,-1.333923703407823e-30,2.0875654676688207e-33,-2.462584445822228e-36,2.0608359228475527e-39,-1.0913976317725863e-42,2.7523477417079326e-46",419.6119957
